Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,TreeID,Phylodist
1,0.934,-0.9018449136829244,DZ,BC,BC08,5.472930985029703
1,0.175,0.43006496440776,ST,BC,BC08,5.472930985029703
0,0,1.1500132982162594,BC,BC,BC08,0
0,0,-3.2975540588343506,HI,BC,BC08,5.6088282658200255
1,1.349,1.7942115040223523,DZ,BC,BC09,5.472930985029703
0,0,-0.9138880493664888,ST,BC,BC09,5.472930985029703
1,0.252,-1.4974993307708118,BC,BC,BC09,0
1,1.681,-0.71199382545926,HI,BC,BC09,5.6088282658200255
0,0,-2.1937052805000357,DZ,BC,BC09,5.472930985029703
0,0,-0.9138880493664888,ST,BC,BC09,5.472930985029703
1,0.465,1.1500132982162594,BC,BC,BC09,0
0,0,-0.5190415692372384,HI,BC,BC09,5.6088282658200255
1,1.349,0.5023511372052406,DZ,BC,BC10,5.472930985029703
1,0.11,1.639622676804584,ST,BC,BC10,5.472930985029703
0,0,-1.6629688700825038,BC,BC,BC10,0
0,0,0.831624224316913,HI,BC,BC10,5.6088282658200255
1,1.373,0.1653440849920812,DZ,BC,BC10,5.472930985029703
0,0,-1.048283350743914,ST,BC,BC10,5.472930985029703
0,0,0.4054003713136454,BC,BC,BC10,0
1,1.091,-0.5576320204816426,HI,BC,BC10,5.6088282658200255
0,0,-1.3792715709849002,DZ,DZ,DZ01,0
0,0,0.16127436165291,ST,DZ,DZ01,3.189217863310539
0,0,1.3982176071837964,BC,DZ,DZ01,5.472930985029703
1,1.293,0.05981519942882646,HI,DZ,DZ01,5.608828265820026
1,0.664,-0.5086700194342381,DZ,DZ,DZ01,0
0,0,-0.7794927479890642,ST,DZ,DZ01,3.189217863310539
0,0,0.3226656016577998,BC,DZ,DZ01,5.472930985029703
1,0.551,-0.98212698417009,HI,DZ,DZ01,5.608828265820026
0,0,-0.986096676736214,DZ,DZ,DZ02,0
0,0,-1.5858645562536131,ST,DZ,DZ02,3.189217863310539
1,0.175,0.7363394499370296,BC,DZ,DZ02,5.472930985029703
0,0,0.36853880938406136,HI,DZ,DZ02,5.608828265820026
1,0.304,-0.7614253085941078,DZ,DZ,DZ02,0
