Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,SoilSource_TreeID,Phylodist
1,1.763,1.537940201331104,HI,SC,SC_2,5.608828265820026
1,2.635,1.537940201331104,HI,SC,SC_2,5.608828265820026
1,1.696,0.6591172291419017,HI,SC,SC_3,5.608828265820026
1,1.876,2.1238221827905726,HI,SC,SC_3,5.608828265820026
0,0.887,0.2197057430473006,HI,SC,SC_3,5.608828265820026
1,2.766,0.8934700217256892,HI,SC,SC_4,5.608828265820026
1,1.201,-0.13182344582838015,HI,SC,SC_4,5.608828265820026
1,1.5059999999999998,1.0985287152365029,HI,SC,SC_4,5.608828265820026
1,1.814,0.30758804026622105,HI,SC,SC_5,5.608828265820026
1,1.961,1.9773516874257053,HI,SC,SC_5,5.608828265820026
1,1.7919999999999998,1.391469705966237,HI,SC,SC_5,5.608828265820026
1,2.88,0.043941148609460225,HI,DZ,DZ_1,5.608828265820026
1,3.0919999999999996,0.30758804026622105,HI,DZ,DZ_1,5.608828265820026
1,2.9179999999999997,0.6005290309959551,HI,DZ,DZ_1,5.608828265820026
1,2.856,0.2197057430473006,HI,DZ,DZ_2,5.608828265820026
1,2.855,-2.0359398855716524,HI,DZ,DZ_2,5.608828265820026
1,2.532,0.39547033748514093,HI,DZ,DZ_2,5.608828265820026
1,1.791,-0.3661762384121677,HI,DZ,DZ_3,5.608828265820026
1,2.624,0.33688213933919436,HI,DZ,DZ_3,5.608828265820026
1,2.26,-0.4833526347040614,HI,DZ,DZ_3,5.608828265820026
1,2.733,0.39547033748514093,HI,DZ,DZ_4,5.608828265820026
1,3.153,0.3661762384121677,HI,DZ,DZ_4,5.608828265820026
1,3.673,0.8934700217256892,HI,DZ,DZ_4,5.608828265820026
0,0,0.10252934675540684,HI,DZ,DZ_5,5.608828265820026
1,1.83,0.7762936254337955,HI,DZ,DZ_5,5.608828265820026
1,1.0659999999999998,-1.450057904112184,HI,DZ,DZ_5,5.608828265820026
1,2.557,0.30758804026622105,HI,BC,BC_1,5.6088282658200255
1,1.795,0.30758804026622105,HI,BC,BC_1,5.6088282658200255
1,2.383,0.2782939411932472,HI,BC,BC_1,5.6088282658200255
0,0,0.10252934675540684,HI,BC,BC_2,5.6088282658200255
1,3.16,0.6005290309959551,HI,BC,BC_2,5.6088282658200255
1,6.002000000000001,0.42476443655811424,HI,BC,BC_2,5.6088282658200255
1,0.746,0.30758804026622105,HI,BC,BC_3,5.6088282658200255
0,0,0.33688213933919436,HI,BC,BC_3,5.6088282658200255
1,0.153,0.6591172291419017,HI,BC,BC_3,5.6088282658200255
1,1.342,-1.391469705966237,HI,BC,BC_4,5.6088282658200255
1,3.64,0.42476443655811424,HI,BC,BC_4,5.6088282658200255
1,3.089,0.30758804026622105,HI,BC,BC_4,5.6088282658200255
1,3.31,0.30758804026622105,HI,BC,BC_5,5.6088282658200255
1,0.7190000000000001,-0.2782939411932472,HI,BC,BC_5,5.6088282658200255
1,1.012,0.30758804026622105,HI,BC,BC_5,5.6088282658200255
1,3.0440000000000005,0.8055877245067689,HI,ST,ST_5,5.608828265820026
1,2.353,-1.8894693902067852,HI,ST,ST_5,5.608828265820026
1,0.2,-1.684410696695971,HI,ST,ST_5,5.608828265820026
1,4.73,-0.3661762384121677,HI,ST,ST_2,5.608828265820026
0,1.109,-0.3661762384121677,HI,ST,ST_2,5.608828265820026
0,0,-0.07323524768243353,HI,ST,ST_2,5.608828265820026
1,1.171,0.014647049536486914,HI,ST,ST_3,5.608828265820026
1,1.514,0.3661762384121677,HI,ST,ST_3,5.608828265820026
1,1.44,0.9520582198716359,HI,ST,ST_3,5.608828265820026
1,2.41,0.9520582198716359,HI,ST,ST_4,5.608828265820026
1,1.362,1.537940201331104,HI,ST,ST_4,5.608828265820026
1,1.264,-1.24499921060137,HI,ST,ST_4,5.608828265820026
1,2.7110000000000003,1.0985287152365029,HI,ST,ST_1,5.608828265820026
1,1.668,1.0985287152365029,HI,ST,ST_1,5.608828265820026
0,0,0.2197057430473006,HI,ST,ST_1,5.608828265820026
1,2.107,0.3661762384121677,HI,HI,HI_1,0
1,2.505,0.42476443655811424,HI,HI,HI_1,0
1,2.372,0.30758804026622105,HI,HI,HI_1,0
1,1.133,-0.7177054272878484,HI,HI,HI_1,0
1,4.859999999999999,-1.450057904112184,HI,HI,HI_2,0
1,1.27,0.42476443655811424,HI,HI,HI_2,0
1,6.605,0.42476443655811424,HI,HI,HI_2,0
1,6.423,0.4540585356310881,HI,HI,HI_2,0
1,2.053,-2.0359398855716524,HI,HI,HI_3,0
1,1.7200000000000002,-0.3661762384121677,HI,HI,HI_3,0
0,0,0.4833526347040614,HI,HI,HI_3,0
0,0,0.3661762384121677,HI,HI,HI_3,0
0,0,-1.3328815078202902,HI,HI,HI_4,0
1,2.373,-1.596528399477051,HI,HI,HI_4,0
1,1.931,-0.688411328214875,HI,HI,HI_4,0
0,0,-1.6258224985500243,HI,HI,HI_4,0
1,1.858,-0.07323524768243353,HI,HI,HI_5,0
0,0,-0.16111754490135397,HI,HI,HI_5,0
1,0.872,-2.4167631735203066,HI,HI,HI_5,0
0,0,0.33688213933919436,HI,HI,HI_5,0
1,0.254,-0.10647296011009354,BC,SC,SC_1,5.472930985029703
1,0.598,0.24791498064850195,BC,SC,SC_1,5.472930985029703
1,0.297,-2.4859348480606624,BC,SC,SC_1,5.472930985029703
1,0.812,0.1972881319687028,BC,SC,SC_2,5.472930985029703
1,0.159,-1.1190099337060804,BC,SC,SC_2,5.472930985029703
1,0.12,-1.372144177105077,BC,SC,SC_2,5.472930985029703
1,0.14700000000000002,-0.8152488416272841,BC,SC,SC_3,5.472930985029703
1,0.35400000000000004,-0.05584611143029392,BC,SC,SC_3,5.472930985029703
1,0.436,-0.8152488416272841,BC,SC,SC_3,5.472930985029703
1,0.282,-0.8658756903070837,BC,SC,SC_4,5.472930985029703
1,0.418,-0.5114877495484882,BC,SC,SC_4,5.472930985029703
1,0.405,0.6023029214070974,BC,SC,SC_4,5.472930985029703
1,0.415,-0.4608609008686886,BC,SC,SC_5,5.472930985029703
1,0.613,-0.05584611143029392,BC,SC,SC_5,5.472930985029703
1,0.393,-0.2583535061494915,BC,SC,SC_5,5.472930985029703
1,0.298,1.7667204410424826,BC,DZ,DZ_1,5.472930985029703
1,0.352,-0.20772665746969185,BC,DZ,DZ_1,5.472930985029703
1,0.384,-0.35960720350909026,BC,DZ,DZ_1,5.472930985029703
1,0.493,-0.4608609008686886,BC,DZ,DZ_2,5.472930985029703
1,0.525,-0.30898035482929065,BC,DZ,DZ_2,5.472930985029703
1,0.539,0.14666128328890318,BC,DZ,DZ_2,5.472930985029703
1,0.197,-1.0177562363464816,BC,DZ,DZ_3,5.472930985029703
1,0.147,-0.4608609008686886,BC,DZ,DZ_3,5.472930985029703
1,0.352,-1.0683830850262808,BC,DZ,DZ_3,5.472930985029703
1,0.875,2.3742426252000746,BC,DZ,DZ_4,5.472930985029703
1,0.382,-0.6633682955878861,BC,DZ,DZ_4,5.472930985029703
1,0.49,-0.7139951442676853,BC,DZ,DZ_4,5.472930985029703
1,0.185,0.24791498064850195,BC,DZ,DZ_5,5.472930985029703
1,0.239,-1.0177562363464816,BC,DZ,DZ_5,5.472930985029703
1,0.406,-0.7646219929474849,BC,DZ,DZ_5,5.472930985029703
1,0.311,0.6529297700868966,BC,HI,HI_1,5.6088282658200255
1,0.446,0.04540758592930485,BC,HI,HI_1,5.6088282658200255
